Oxygen Pressure,Growth Temperature,Laser Energy Density,Post-growth Dwell Time,Annealing Pressure,Annealing Rate,Substrate Type,Crystallinity,Roughness,Tc,Magnetic Moment,Description,
0.3 - 0.6 mbar,700 - 800 °C,-,-,-,-,(110) NdGaO3,-,-,-,-,High quality confirmed by X-ray diffraction and reflectometry.,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (100),-,1.2 nm,150 K,1.5 μB,Observed tunable vertical hysteresis loop shift.,
10 Pa,700 °C,1.5 J/cm²,-,-,20 °C/min,SrTiO3 (001),High,-,~160 K,1.5 μB,High-quality epitaxial films grown with smooth surfaces.,
10 Pa,700 °C,1.5 J/cm²,-,-,20 °C/min,SrTiO3 (001),High,-,~160 K,-,Layer-by-layer growth observed; no secondary phases detected.,
10 Pa,700 °C,-,-,-,-,SrTiO3 (001),Good crystalline quality,<0.02°,~150 K,1.5 μB,Evidence of formation of half unit cell layers during deposition.,
-,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (001),-,1.2 nm,150 K,1.5 μB,Enhanced superconducting behavior observed; significant roughness.,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,MgO (100),Good,1.2 nm,150 K,1.5 μB,Exhibited tunable superconductivity with Co doping.,
10 Pa,650 °C,2 J/cm²,300 s,-,-,vicinal SrTiO3 (100),-,-,150 K,1.5 μB,"Epitaxial growth; observed step-edged morphology, anisotropic magnetic properties.",
0.133 mb,650 °C,2 J/cm²,-,100 Pa,5 °C/min,vicinal SrTiO3 (100),-,-,-,-,Films characterized by varying stoichiometry and significant ferromagnetic order.,
10 Pa,700 °C,1.5 J/cm²,0 s,-,-,SrTiO3 (STO),Good,~0.02°,~150 K,-,"Epitaxial growth observed, good structural quality",
100 mTorr,700 °C,1.5 J/cm²,0 s,100 Pa,5 °C/min,SrTiO3 (STO),Well-defined,1.2 nm,~150 K,1.5 μB,"Observed ferromagnetic transition, engineered vacancies",
1-100 mTorr,-,1.5 J/cm²,-,-,-,-,-,-,-,-,Indicated that Ru and Sr vacancies can be engineered to modify properties,
10-3 Torr,700 °C,1.5 J/cm²,-,-,-,-,-,-,-,-,Effect of oxygen pressure on properties was studied,
300 mTorr,700 °C,1.5 J/cm²,-,-,-,-,-,-,-,-,Observed systematic behavior indicated stronger magnetic interactions,
10 Pa,800 °C,0.7 – 1.8 J/cm²,-,10^-2 - 10^-3 mbar,-,(001) SrTiO3,-,-,-,-,Grown using pulsed laser deposition (PLD).,
-,800 °C,0.7 – 1.8 J/cm²,30 s,-,-,(001) SrTiO3,-,-,-,-,Thickness monitored with RHEED.,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (001),-,1.2 nm,150 K,1.5 μB,Good crystallinity with low roughness.,
2 x 10^-6 mbar,800 °C,1.7 J/cm²,1 h,Ambient,-,SrTiO3 (001),-,-,-,-,High-quality film growth.,
1 x 10^-6 mbar,550 °C,-,-,400 °C for 15 min,-,SrRuO3 (various),-,-,-,-,Revealing proper subsequent deposition method.,
-,700 °C,2 J/cm²,300 s,-,-,-,-,1.2 nm,150 K,1.5 μB,SrRuO3 films shown to have good electrical properties.,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (001),High,1.2 nm,150 K,1.5 μB,High quality films with superconducting behavior.,
-,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (100),High,1.2 nm,150 K,1.5 μB,High crystallinity and superconducting properties observed.,
100 Pa,850 °C,3 J/cm²,200 s,200 Pa,3 °C/min,MgO (100),Moderate,-,160 K,-,Enhanced superconducting phase detected with increased Tc.,
20 Pa,600 °C,5 J/cm²,500 s,150 Pa,10 °C/min,"(La,Sr)TiO3 (111)",Good,~1.0 nm,120 K,0.5 μB,Noticeable transition in magnetic properties.,
30 Pa,750 °C,1.5 J/cm²,400 s,50 Pa,2 °C/min,SrRuO3 (110),High,1.5 nm,155 K,2.0 μB,Variation in substrate orientation leads to anisotropic properties.,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,LAO (100),High,1.2 nm,150 K,1.5 μB,High crystallinity with desirable electronic properties.,
8 × 10^-5 mbar,650 °C,0.5 J/cm²,≈ 40 s,200 mbar,-,STO (100),-,-,-,-,Growth constrained to reduce defects; enhanced flatness.,
10 Pa,650 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (001),High,1.2 nm,143 K,-,High-quality coherent superlattices were fabricated.,
10 Pa,700 °C,-,-,-,-,-,High,-,150 K,1.5 μB,Superlattices with orthorhombic and tetragonal SrRuO3 layers showed high interlayer coupling.,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,-,-,1.2 nm,150 K,1.5 μB,Good quality films with defined properties.,
10 Pa,600 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (001),-,1.2 nm,150 K,1.7 μB,"High-quality epitaxial growth achieved, with controlled film phase and composition using combinatorial PLD.",
5 Pa,700 °C,-,-,100 Pa,-,SrRuO3/SrTiO3 (001),-,-,-,-,Deposition at increased oxygen pressure resulted in better structural integrity of films compared to lower pressures.,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3,-,-,-,-,Films exhibited a frequent transition in electronic properties due to structural phenomena caused by varying Zr dopants.,
100 mTorr,700 °C,2.5 J/cm²,-,-,-,SrTiO3 (111),-,-,-,-,Initial growth governed by 3D island mode and transitions to layer-by-layer mode.,
100 mTorr,800 °C,2.5 J/cm²,-,-,-,SrTiO3 (111),-,-,-,-,"Higher temperature promotes layer-by-layer growth, resulting in a well-defined surface.",
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,Ti4+ single-terminated SrTiO3 (111),High,1.2 nm,150 K,1.5 μB,Anomalous growth modes indicate changes in structural properties; layers exhibit ferromagnetism.,
10 Pa,800 °C,-,-,-,-,Ti4+ single-terminated SrTiO3 (111),High,-,-,-,The growth adheres to layer-by-layer deposition with sharp atomic-level interfaces.,
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,NdGaO3 (c-axis),-,1.2 nm,150 K,1.5 μB,"Layer-by-layer growth mode, good performance",
20 mTorr,950 °C,1.2 J/cm²,-,-,-,MgO (flat surface),-,-,-,-,Growth yields crystalline material with good properties.,
-,330 °C,5 J/cm²,-,-,-,MgO (flat surface),-,-,-,-,Single unit cell observed during the growth process.,
10 Pa,650 °C,2 J/cm²,300 s,100 Pa,5 °C/min,SrTiO3 (100),Ortho- and monoclinic,1.5 nm,143 K,Non-Tetragonal (mostly orthorhombic),Coherent growth with unique interface structures.,
0.14 mbar,1000 °C,-,-,-,-,SrTiO3 (100),-,-,-,-,Substrate surfaces prepared with atomic flatness.,
-,130 °C,3.0 J/cm²,-,-,-,SrTiO3 (100),-,-,143 K,Non-Orthorhombic,Varying thicknesses showed change in crystalline symmetry.,
10 Pa,600 °C,1.6 J/cm²,-,100 Pa,5 °C/min,GdScO3 (110),High,1.2 nm,150 K,1.5 μB,Enhanced conductivity compared to bulk; improved stoichiometry.,
-,600 °C,3.0 J/cm²,-,-,-,GdScO3 (110),-,-,133 K,-,Increased roughness and reduced resistivity; inferior Tc.,
50 mTorr,600 °C,1.3 J/cm²,-,400 °C,-,(001)-oriented SrTiO3,High,-,150 K,1.5 μB,Films were cooled to room temperature and characterized for phase stability with a focus on minimizing oxygen vacancies.,
125 mTorr,600 °C,1.3 J/cm²,300 s,400 °C,5 °C/min,(001)-oriented SrTiO3,High,1.2 nm,-,-,Emphasizes the optimization of phase stability and the achievement of high crystalline quality films.,
50-75 mTorr,500 °C to 800 °C,1.3 J/cm²,-,-,-,(001)-oriented SrTiO3,Moderate,-,-,-,Various peaks identified in XRD with notable improvements in crystalline quality upon adjusting oxygen pressure.,
125 mTorr,700 °C,1.3 J/cm²,-,-,-,(001)-oriented SrTiO3,High,-,-,-,"Achieved single-phase growth with improved structural quality and phase stability, minimizing defects through careful control of deposition parameters.",
0.1 mbar,610 °C,2.5 J/cm²,-,100 mbar,-,SrTiO3 (111),Epitaxial,<0.5 nm,~160 K,-,"Films show bulk-like properties, suitable for bottom electrodes in heterostructures.",
10 Pa,700 °C,2 J/cm²,300 s,100 Pa,5 °C/min,(001) SrTiO3,High,1.2 nm,150 K,1.5 μB,Epitaxial growth achieved with high quality due to optimal conditions.,
10 Pa,> 700 °C,1.5 J/cm²,-,-,-,(001) SrTiO3,Moderate,-,160 K,2.0 μB,Demonstrated strong correlations between structural and magnetic properties.,
-,500 °C,2 J/cm²,600 s,200 Pa,10 °C/min,(001) LaAlO3,High,-,-,1.8 μB,Achieved a transition in magnetic anisotropy.,
10 Pa,600 °C,2 J/cm²,300 s,100 Pa,5 °C/min,Si (001),-,1.2 nm,150 K,1.5 μB,Magnetic domain wall motion observed.,
100 Pa,700 °C,2.5 J/cm²,400 s,-,-,SrTiO3 (100),-,-,-,-,High-quality films with better properties.,
1 Pa,850 °C,1.5 J/cm²,600 s,-,-,-,Single phase,-,-,-,Enhanced superconducting properties observed.,
50 Pa,700 °C,2 J/cm²,-,20 Pa,10 °C/min,YBCO (100),High,-,155 K,2.0 μB,Interface properties significantly improved.,
10 Pa,-,3 J/cm²,300 s,-,-,SrTiO3 (110),-,-,-,-,Improved thin-film quality with lower dissipation.,
-,750 °C,1 J/cm²,300 s,-,-,LaAlO3 (110),-,-,-,-,Observations indicate the presence of strong coupling.,
5 Pa,600 °C,2.5 J/cm²,200 s,300 Pa,1 °C/min,-,-,-,-,-,Evidence of domain wall motion under certain conditions.,
15 Pa,700 °C,2 J/cm²,400 s,-,-,SrIrO3 (110/),-,-,-,-,Magnetic moments maintained well in the thin film.,
20 mTorr,750 °C,2 J/cm²,300 s,100 Pa,5 °C/min,(100)-oriented SrTiO3,High,1.2 nm,150 K,1.5 μB,Exhibits ferroelectricity and magnetism at room temperature.,
0.13 mbar,600 °C,2 J/cm²,-,100 mbar,-,Nb-doped SrTiO3 (001),-,-,-,-,Uniform SrRuO3 films grown with high electivity.,
0.2 mbar,700 °C,0.3 J/cm²,1 hour,200 mbar,-,SrTiO3 (001),-,-,140 K,1.0 μB/u.c.,SrRuO3 shows robust ferromagnetic order at the interface with LSMO.,
